Frame_0.png -153,8186 -293,5024 -317,4322 0,5657504 0,08496258 2,644414
Frame_1.png -151,8114 -294,0921 -318,1216 0,5672114 0,08394753 2,651467
Frame_2.png -149,9003 -294,643 -318,7775 0,5686007 0,08298141 2,658171
Frame_3.png -148,0298 -295,1724 -319,419 0,5699588 0,0820353 2,664718
Frame_4.png -146,1676 -295,6913 -320,0572 0,5713042 0,08109355 2,671223
Frame_5.png -144,3078 -296,2006 -320,6941 0,5726451 0,08015253 2,677708
Frame_6.png -142,5196 -296,6809 -321,3059 0,5739383 0,07924835 2,683936
Frame_7.png -140,6233 -297,1842 -321,9542 0,5752963 0,07828917 2,690523
Frame_8.png -138,8945 -297,6351 -322,5447 0,5765364 0,07741487 2,696521
Frame_9.png -137,199 -298,0697 -323,1234 0,5777537 0,07655777 2,702396
Frame_10.png -135,567 -298,4844 -323,6798 0,5789146 0,07573254 2,708038
Frame_11.png -133,9522 -298,8876 -324,2299 0,5800681 0,0749173 2,713616
Frame_12.png -132,3426 -299,2852 -324,7777 0,5812123 0,0741046 2,719166
Frame_13.png -130,4019 -299,759 -325,4375 0,5825876 0,07312531 2,725848
Frame_14.png -128,8681 -300,1258 -325,9586 0,5836795 0,07235195 2,731122
Frame_15.png -127,3645 -300,4855 -326,4686 0,5847375 0,07159498 2,736284
Frame_16.png -125,8808 -300,8326 -326,9717 0,5857907 0,07084773 2,741372
Frame_17.png -124,4431 -301,1704 -327,4583 0,5867985 0,0701259 2,746296
Frame_18.png -122,9843 -301,5057 -327,9519 0,5878299 0,06939282 2,751288
Frame_19.png -121,5074 -301,8466 -328,4507 0,5888622 0,06865306 2,756332
Frame_20.png -120,0741 -302,1717 -328,9345 0,5898713 0,06793472 2,761226
Frame_21.png -118,7022 -302,4833 -329,3968 0,590828 0,06724929 2,7659
Frame_22.png -117,3205 -302,7932 -329,862 0,5917955 0,06655946 2,770604
Frame_23.png -115,9845 -303,094 -330,311 0,592724 0,06589471 2,775147
Frame_24.png -114,6818 -303,3815 -330,7488 0,5936371 0,0652462 2,779575
Frame_25.png -113,4211 -303,6646 -331,1712 0,5945085 0,06462225 2,783852
Frame_26.png -112,1745 -303,9386 -331,5889 0,5953774 0,06400432 2,788078
Frame_27.png -110,9737 -304,2065 -331,9902 0,5962077 0,0634124 2,792146
Frame_28.png -109,7915 -304,4673 -332,3851 0,5970266 0,06283046 2,796145
Frame_29.png -108,6219 -304,7264 -332,7751 0,5978352 0,0622562 2,8001
Frame_30.png -107,4776 -304,9814 -333,156 0,598622 0,06169651 2,803962
Frame_31.png -106,3338 -305,2316 -333,5366 0,5994154 0,06113679 2,807823
Frame_32.png -105,2407 -305,4783 -333,8991 0,6001636 0,06060662 2,811508
Frame_33.png -104,1191 -305,7282 -334,2708 0,6009342 0,06006309 2,815283
Frame_34.png -103,03 -305,9713 -334,6311 0,6016829 0,05953661 2,818947
Frame_35.png -102,0146 -306,204 -334,966 0,602375 0,05905031 2,822362
Frame_36.png -100,9962 -306,4332 -335,3019 0,6030732 0,05856169 2,82578
Frame_37.png -100,0012 -306,6596 -335,6294 0,6037542 0,05808711 2,82912
Frame_38.png -99,02128 -306,8888 -335,9507 0,6044188 0,0576236 2,832405
Frame_39.png -98,0518 -307,1121 -336,2686 0,605081 0,05716479 2,835652
Frame_40.png -97,10121 -307,3352 -336,5795 0,6057277 0,05671873 2,838833
